#,Listing ID,Listing Class,Street Number,Street Name,Municipality,Community,List Price,Sold Price,Type,Style,Bed Room,Extra Space,Wash Room,Family Room,Kitchen,Garage Type,A/C,Heat Type,Contract Date,Sold Date,List Brokerage
596,W5570287,Sld,22,Baby Point,Brampton,Northwest,1599000,1503999,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-04-08,2022-05-05,ROYAL LEPAG
597,W5559317,Sld,18,Redearth,Brampton,Brampton E,1599900,1750000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-04-01,2022-04-04,RE/MAX REAL
598,W5563866,Sld,14,Laurentide,Brampton,Vales of Caclemore,1599900,1805000,Detached,2-Storey,5,1,4,Y,1,Double Car,Cen,Gas,2022-04-05,2022-04-08,HOMELIFE/MI
599,W5572112,Sld,26,Bassett,Brampton,Credit Valley,1599913,1605000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-04-10,2022-05-01,ESTATE
600,W5587581,Sld,3,Dolbyhill,Brampton,Sandringham,1629000,1575000,Detached,2-Storey,4,0,5,Y,1,Double Car,Cen,Gas,2022-04-22,2022-04-27,HOMELIFE GA
601,W5569071,Sld,58,Moldovan,Brampton,Sandringham,1629900,1650000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2022-04-07,2022-04-16,RE/MAX GOLD
602,W5641472,Sld,17,Ranchero,Brampton,Fletcher's Creek,1649000,1665000,Detached,2-Storey,5,2,5,Y,1,Double Car,Cen,Gas,2022-06-01,2022-06-06,HOMELIFE SI
603,W5619581,Sld,16,Sir Michae,Brampton,Fletcher's Creek,1649900,1481000,Detached,2-Storey,4,1,3,Y,1,Double Car,Cen,Gas,2022-05-16,2022-05-26,PROPERTY.CA
604,W5578715,Sld,23,Brentcliff,Brampton,Fletcher's Creek,1670000,1650000,Detached,2-Storey,4,3,4,Y,1,Double Car,Cen,Gas,2022-04-14,2022-04-28,ROYAL LEPAG
605,W5615382,Sld,6,Ozark,Brampton,Brampton W,1699000,1600000,Detached,2-Storey,4,1,5,Y,1,Double Car,Cen,Gas,2022-05-11,2022-05-15,HERITAGE CA
606,W5640497,Sld,4,Ingleside,Brampton,Credit Valley,1699813,1650000,Detached,2-Storey,4,1,5,Y,1,Double Car,Cen,Gas,2022-06-01,2022-06-27,CENTURY 21
607,W5572960,Sld,19,Andretti,Brampton,Credit Valley,1699900,1671000,Detached,2-Storey,5,3,5,Y,1,Double Car,Cen,Gas,2022-04-11,2022-05-04,RE/MAX REAL
608,W5573972,Sld,10,Fann,Brampton,Northwest,1699900,1630000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-04-12,2022-04-28,RE/MAX REAL
609,W5579134,Sld,8,Redearth,Brampton,Brampton E,1699900,1700000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-04-15,2022-04-27,RE/MAX REAL
610,W5598076,Sld,9,Sinatra,Brampton,Sandringham,1699900,1651000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-04-30,2022-05-06,RE/MAX PARA
611,W5635983,Sld,21,Okanagan,Brampton,Sandringham,1699900,1720000,Detached,2-Storey,4,1,5,Y,1,Double Car,Cen,Gas,2022-05-27,2022-06-05,RE/MAX GOLD
612,W5563635,Sld,26,Clockwork,Brampton,Northwest,1699999,1680000,Detached,2-Storey,5,0,5,Y,1,Double Car,Cen,Gas,2022-04-04,2022-04-18,ZOLO REALTY
613,W5572449,Sld,25,Ringway,Brampton,Northwest,1699999,1680000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-04-11,2022-04-15,HOMELIFE MA
614,W5614748,Sld,8,Sugarcane,Brampton,Sandringham,1750000,1575000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-05-12,2022-06-09,RE/MAX REAL
615,W5717280,Sld,30,Gastonia,Brampton,Northwest,1349900,1333333,Detached,2-Storey,4,2,6,Y,1,Double Car,Cen,Gas,2022-08-02,2022-09-08,KING REALTY
616,W5720369,Sld,26,Monte Vist,Brampton,Heart Lake,1349900,1225000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-08-04,2022-09-01,RE/MAX PARA
617,W5694163,Sld,77,Maddybeth,Brampton,Brampton W,1369000,1275000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-07-12,2022-07-27,RE/MAX REAL
618,W5726952,Sld,13,Trailside,Brampton,Sandringham,1375000,1325000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-08-10,2022-08-13,RE/MAX REAL
619,W5772701,Sld,19,Seascape,Brampton,Brampton E,1379000,1364000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-09-22,2022-09-24,"EXP REALTY,"
620,W5688221,Sld,13,Queen Mary,Brampton,Fletcher's Creek,1389900,1325000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-07-07,2022-07-25,RE/MAX REAL
621,W5690153,Sld,22,Picasso,Brampton,Brampton E,1398800,1305000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-07-08,2022-07-27,RE/MAX MILL
622,W5673284,Sld,4,Warwick,Brampton,Fletcher's Creek,1399000,1381000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-06-24,2022-07-02,RE/MAX REAL
623,W5690559,Sld,15,Woodvalley,Brampton,Fletcher's Creek,1399000,1350000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-07-08,2022-07-29,"EXP REALTY,"
624,W5747400,Sld,25,Borneo,Brampton,Sandringham,1399000,1390000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-08-30,2022-09-09,HOMELIFE SI
625,W5701927,Sld,44,Stoneylake,Brampton,Madoc,1399900,1330000,Detached,2-Storey,4,0,4,Y,1,Double Car,Cen,Gas,2022-07-19,2022-08-12,RE/MAX REAL
626,W5712881,Sld,1,Melsandra,Brampton,Sandringham,1419500,1360000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-07-28,2022-08-08,RE/MAX WEST
